year,country_name,athlete_name,medal_type,athlete_photo_url
2022,Austria,Teresa STADLOBER,BRONZE,https://olympics.com/en/athletes/teresa-stadlober
2022,ROC,Natalia NEPRYAEVA,SILVER,https://olympics.com/en/athletes/nepryaeva
2022,United States of America,Jessica DIGGINS,SILVER,https://olympics.com/en/athletes/jessica-diggins
2022,Finland,Kerttu NISKANEN,BRONZE,https://olympics.com/en/athletes/kerttu-niskanen
2022,Norway,Therese JOHAUG,GOLD,https://olympics.com/en/athletes/therese-johaug
2022,Finland,Krista PARMAKOSKI,BRONZE,https://olympics.com/en/athletes/parmakoski
2022,Norway,Therese JOHAUG,GOLD,https://olympics.com/en/athletes/therese-johaug
2022,Finland,Kerttu NISKANEN,SILVER,https://olympics.com/en/athletes/kerttu-niskanen
2022,Norway,Simen Hegstad KRUEGER,BRONZE,https://olympics.com/en/athletes/simen-hegstad-krueger
2022,ROC,Alexander BOLSHUNOV,GOLD,https://olympics.com/en/athletes/bolshunov
2022,ROC,Ivan YAKIMUSHKIN,SILVER,https://olympics.com/en/athletes/ivan-yakimushkin
2022,Finland,Iivo NISKANEN,GOLD,https://olympics.com/en/athletes/iivo-niskanen
2022,Norway,Johannes Hoesflot KLAEBO,BRONZE,https://olympics.com/en/athletes/klaebo
2022,ROC,Alexander BOLSHUNOV,SILVER,https://olympics.com/en/athletes/bolshunov
2022,Norway,Johannes Hoesflot KLAEBO,GOLD,https://olympics.com/en/athletes/klaebo
2022,Italy,Federico PELLEGRINO,SILVER,https://olympics.com/en/athletes/federico-pellegrino
2022,ROC,Alexander TERENTEV,BRONZE,https://olympics.com/en/athletes/alexander-terentev
2022,Netherlands,Kjeld NUIS,GOLD,https://olympics.com/en/athletes/kjeld-nuis
2022,Republic of Korea,Min Seok KIM,BRONZE,https://olympics.com/en/athletes/kim-16
2022,Netherlands,Thomas KROL,SILVER,https://olympics.com/en/athletes/thomas-krol
2022,United States of America,Brittany BOWE,BRONZE,https://olympics.com/en/athletes/brittany-bowe
2022,Japan,Miho TAKAGI,GOLD,https://olympics.com/en/athletes/miho-takagi
2022,Netherlands,Jutta LEERDAM,SILVER,https://olympics.com/en/athletes/jutta-leerdam
2022,Netherlands,Thomas KROL,GOLD,https://olympics.com/en/athletes/thomas-krol
2022,Norway,Havard LORENTZEN,BRONZE,https://olympics.com/en/athletes/havard-lorentzen-1
2022,Canada,Laurent DUBREUIL,SILVER,https://olympics.com/en/athletes/laurent-dubreuil
2022,Netherlands,Irene SCHOUTEN,GOLD,https://olympics.com/en/athletes/irene-schouten
2022,Italy,Francesca LOLLOBRIGIDA,BRONZE,https://olympics.com/en/athletes/francesca-lollobrigida
2022,Canada,Ivanie BLONDIN,SILVER,https://olympics.com/en/athletes/ivanie-blondin
2022,Sweden,Nils VAN DER POEL,GOLD,https://olympics.com/en/athletes/nils-van-der-poel
2022,Netherlands,Patrick ROEST,SILVER,https://olympics.com/en/athletes/roest
2022,Norway,Hallgeir ENGEBRAATEN,BRONZE,https://olympics.com/en/athletes/hallgeir-engebraaten
2022,Canada,Isabelle WEIDEMANN,SILVER,https://olympics.com/en/athletes/isabelle-weidemann
2022,Netherlands,Irene SCHOUTEN,GOLD,https://olympics.com/en/athletes/irene-schouten
2022,Czech Republic,Martina SABLIKOVA,BRONZE,https://olympics.com/en/athletes/martina-sablikova
2022,Netherlands,Irene SCHOUTEN,GOLD,https://olympics.com/en/athletes/irene-schouten
2022,Italy,Francesca LOLLOBRIGIDA,SILVER,https://olympics.com/en/athletes/francesca-lollobrigida
2022,Canada,Isabelle WEIDEMANN,BRONZE,https://olympics.com/en/athletes/isabelle-weidemann
2022,Sweden,Nils VAN DER POEL,GOLD,https://olympics.com/en/athletes/nils-van-der-poel
2022,Italy,Davide GHIOTTO,BRONZE,https://olympics.com/en/athletes/davide-ghiotto
2022,Netherlands,Patrick ROEST,SILVER,https://olympics.com/en/athletes/roest
2022,Belgium,Bart SWINGS,GOLD,https://olympics.com/en/athletes/bart-swings
2022,Republic of Korea,Jaewon CHUNG,SILVER,https://olympics.com/en/athletes/jaewon-chung
2022,Republic of Korea,Seung Hoon LEE,BRONZE,https://olympics.com/en/athletes/seung-hoon-lee
2022,Netherlands,Ireen WÜST,GOLD,https://olympics.com/en/athletes/ireen-wust
2022,Netherlands,Antoinette DE JONG,BRONZE,https://olympics.com/en/athletes/antoinette-de-jong
2022,Japan,Miho TAKAGI,SILVER,https://olympics.com/en/athletes/miho-takagi
2022,United States of America,Erin JACKSON,GOLD,https://olympics.com/en/athletes/erin-jackson
2022,Japan,Miho TAKAGI,SILVER,https://olympics.com/en/athletes/miho-takagi
2022,ROC,Angelina GOLIKOVA,BRONZE,https://olympics.com/en/athletes/angelina-golikova
2022,Japan,Wataru MORISHIGE,BRONZE,https://olympics.com/en/athletes/wataru-morishige
2022,Republic of Korea,Min Kyu CHA,SILVER,https://olympics.com/en/athletes/min-kyu-cha
2022,People's Republic of China,Tingyu GAO,GOLD,https://olympics.com/en/athletes/tingyu-gao
2022,Norway,Joergen GRAABAK,SILVER,https://olympics.com/en/athletes/joergen-graabak
2022,Germany,Vinzenz GEIGER,GOLD,https://olympics.com/en/athletes/geiger-1
2022,Austria,Lukas GREIDERER,BRONZE,https://olympics.com/en/athletes/lukas-greiderer
2022,Norway,Joergen GRAABAK,GOLD,https://olympics.com/en/athletes/joergen-graabak
2022,Japan,Akito WATABE,BRONZE,https://olympics.com/en/athletes/akito-watabe
2022,Norway,Jens Luraas OFTEBRO,SILVER,https://olympics.com/en/athletes/jens-luraas-oftebro
2022,United States of America,Kaillie HUMPHRIES,GOLD,https://olympics.com/en/athletes/kaillie-humphries
